Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Discussions,Participation,,,Exemplary,Asked or responded 5 or more times.,5,Proficient,Asked one question. Responded to two questions.,4.4,Developing,Asked or responded to two questions.,3.9,Unsatisfactory,Asked one question.,3.5,Insufficient,Provided one response.,3
Discussions,Quality,,,Exemplary,"Provided high-quality math content in a thoughtful, fun, and meaningful way.",5,Proficient,Provided math-related suggestions and ideas in a meaningful and fun way.,4.4,Developing,Provided math-related suggestions and ideas.,3.9,Unsatisfactory,Provided responses that contained little math content.,3.5,Insufficient,Not math related or inappropriate.,3
Notebook Check,Completeness,,,Exemplary,A full page of notes shown with multiple solved problems or diagrams.,5,Proficient,4 fully-worked out problems shown.,4.4,Developing,Less than 4 problems fully worked out or 3 or less problems partially worked out.,3.9,Unsatisfactory,Less than 3 problems worked out.,3.5,Insufficient,Some notes.,3
Notebook Check,Neatness,,,Exemplary,Very neat writing. Organized logically. Labels and diagrams.,5,Proficient,Writing is clear.,4.4,Developing,"Writing is confusing, but legible.",3.9,Unsatisfactory,Confusing.,3.5,Insufficient,Very confusing.,3
Notebook Check,Accuracy,,,Exemplary,Deep understanding of concepts shown in accuracy.,5,Proficient,A few mistakes. Generally accurate.,4.4,Developing,Some understanding. Shows some inaccuracy in multiple problems.,3.9,Unsatisfactory,A little understanding shown.,3.5,Insufficient,Very little understanding.,3
Math Investigation (PBL),Completeness,,,Exemplary,All content is complete. Additional interesting and compelling content included.,5,Proficient,All content is complete.,4.4,Developing,Most content or problems are complete,3.9,Unsatisfactory,Some problems are complete.,3.5,Insufficient,Most problems are incomplete.,3
Math Investigation (PBL),Clarity,,,Exemplary,Information is clear and concise with a professional look and feel.,5,Proficient,The structure of the content is very organized. It makes sense. Many labels are added to diagrams.,4.4,Developing,Information was structured well. Some clarification about sections are needed.,3.9,Unsatisfactory,Somewhat organized. Diagrams contain few labels.,3.5,Insufficient,Content is not organized and is very confusing and messy.,3
Math Investigation (PBL),Concepts,,,Exemplary,Explanation shows thorough understanding.,5,Proficient,Explanation shows general understanding.,4.4,Developing,Explanation shows some understanding.,3.9,Unsatisfactory,Explanation shows very little understanding.,3.5,Insufficient,Explanation shows no understanding.,3
Math Investigation (PBL),Accuracy,,,Exemplary,No computational errors. Work demonstrates the process of being accurate.,5,Proficient,Almost no computational errors.,4.4,Developing,A few computational errors.,3.9,Unsatisfactory,Some computational mistakes and errors.,3.5,Insufficient,Many computational mistakes and errors.,3
Math Investigation (PBL),Peer Review,,,Exemplary,Two excellent reviews given and received. Substantial revisions made.,5,Proficient,Two reviews given and received. Revisions made.,4.4,Developing,One relevant review given and received with revisions. Or two without revisions.,3.9,Unsatisfactory,One relevant review given or received. No revisions made.,3.5,Insufficient,Peer review has very little feedback and no revisions.,3
Math Investigation (PBL),Kingdom,,,Exemplary,"Project content deeply integrates Biblical understanding thematically and scripturally. Builds on God's purpose in creation and human invention. Demonstrates how geometric concepts reveal God's character, design, and redemptive purposes. Connects mathematical beauty to worship and stewardship.",5,Proficient,Project includes meaningful Biblical connections with relevant Scripture. Discusses God's design in creation or human responsibility as image-bearers. Shows understanding of how geometry reflects God's order and purpose. Makes clear connections between math and faith.,4.4,Developing,Project includes some Biblical references or Christian perspective. Mentions God's creation or design but lacks depth. Makes surface-level connections between geometry and faith without substantial development or scriptural support.,3.9,Unsatisfactory,Project includes one scriptural reference or minimal Christian perspective. Biblical connection feels added-on rather than integrated. Little evidence of thinking about geometry through a Biblical worldview or God's purposes in creation.,3.5,Insufficient,"Project lacks Biblical integration or Christian worldview. No scriptural references or discussion of God's design, creation purposes, or stewardship. Does not demonstrate understanding of geometry as revealing God's nature.",3
Math Investigation (Milestone),Completeness,,,Exemplary,"Summary makes clear the scope, intent, and mathematical content. Project deeply integrates Biblical understanding thematically and scripturally.",5,Proficient,"Summary clarifies scope, intent, and mathematical content. Includes Biblical integration idea.",4.4,Developing,"Summary provides two of the following: scope, intent, mathematical content, Biblical integration.",3.9,Unsatisfactory,"Summary provides one of the following: scope, intent, mathematical content, Biblical integration.",3.5,Insufficient,"Project lacks Biblical integration or Christian worldview. No scriptural references or discussion of God's design, creation purposes, or stewardship. Does not demonstrate understanding of geometry as revealing God's nature.",3